Brand,Smartphone,Price,Color,RAM,ROM,Primary camera,Secondary camera,Battery,Display size,Display resolution,Processor,Processor core,Product_url
realme,"realme C20 (Cool Blue, 32 GB)  (2 GB RAM)","₹7,499",-,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,Battery & Power Features,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,Resolution,https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&spotlightTagId=BestsellerId_search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF4894MEWZJGV.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C20 (Cool Grey, 32 GB)  (2 GB RAM)","₹7,499",-,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,Battery & Power Features,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,Resolution,https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489SQZCFHYA.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C11 2021 (Cool Blue, 32 GB)  (2 GB RAM)","₹7,299",Cool Blue,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Processor Type,https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGLL8WZW&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG4BEG3HG78BDG.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C11 2021 (Cool Grey, 32 GB)  (2 GB RAM)","₹7,299",Cool Grey,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Processor Type,https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZMUPPAI&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","₹9,999",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Processor Type,https://www.flipkart.com/realme-c21y-cross-blue-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKRUBBZFBR&lid=LSTMOBG5ZGKRUBBZFBRKJD4XR&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5ZGKRUBBZFBR.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","₹9,999",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Processor Type,https://www.flipkart.com/realme-c21y-cross-black-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKQVSRBYGJ&lid=LSTMOBG5ZGKQVSRBYGJZFAT5X&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5ZGKQVSRBYGJ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C25s (Watery Grey, 64 GB)  (4 GB RAM)","₹10,999",Watery Grey,4 GB,64 GB,13MP + 2MP + 2MP,8MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Processor Type,https://www.flipkart.com/realme-c25s-watery-grey-64-gb/p/itm3546940d1cedb?pid=MOBG39HUYYZMWF2F&lid=LSTMOBG39HUYYZMWF2F2ARMYV&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG39HUYYZMWF2F.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C25s (Watery Blue, 64 GB)  (4 GB RAM)","₹10,999",Watery Blue,4 GB,64 GB,13MP + 2MP + 2MP,8MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Processor Type,https://www.flipkart.com/realme-c25s-watery-blue-64-gb/p/itm3546940d1cedb?pid=MOBG39HUHPSJGHRK&lid=LSTMOBG39HUHPSJGHRKLPO5QX&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG39HUHPSJGHRK.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 5G (Racing Blue, 64 GB)  (4 GB RAM)","₹14,999",Racing Blue,4 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 700 (MT6833),Processor Type,https://www.flipkart.com/realme-narzo-30-5g-racing-blue-64-gb/p/itm56837fcb0d6f3?pid=MOBG5D9DHRZUGHVD&lid=LSTMOBG5D9DHRZUGHVDAOKMDF&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5D9DHRZUGHVD.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 5G (Racing Silver, 64 GB)  (4 GB RAM)","₹14,999",Racing Silver,4 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 700 (MT6833),Processor Type,https://www.flipkart.com/realme-narzo-30-5g-racing-silver-64-gb/p/itm56837fcb0d6f3?pid=MOBG5D9DKJ3NR3BB&lid=LSTMOBG5D9DKJ3NR3BBYZBMK9&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5D9DKJ3NR3BB.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C25s (Watery Grey, 128 GB)  (4 GB RAM)","₹11,999",Watery Grey,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Processor Type,https://www.flipkart.com/realme-c25s-watery-grey-128-gb/p/itm3546940d1cedb?pid=MOBG39HUYERMXR2C&lid=LSTMOBG39HUYERMXR2CMK160X&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG39HUYERMXR2C.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C25s (Watery Blue, 128 GB)  (4 GB RAM)","₹11,999",Watery Blue,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Processor Type,https://www.flipkart.com/realme-c25s-watery-blue-128-gb/p/itm3546940d1cedb?pid=MOBG39HUJTFZJXJ8&lid=LSTMOBG39HUJTFZJXJ8CAQXYD&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG39HUJTFZJXJ8.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Blue, 32 GB)  (3 GB RAM)","₹8,999",Cross Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489MNZGABVJ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Black, 32 GB)  (3 GB RAM)","₹8,999",Cross Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489EUA5PEBK.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Black, 64 GB)  (4 GB RAM)","₹9,999",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF489G9HRWFZ9.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme C21 (Cross Blue, 64 GB)  (4 GB RAM)","₹9,999",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,Dimensions,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Processor Type,https://www.flipkart.com/realme-c21-cross-blue-64-gb/p/itmf4062d3f37c1a?pid=MOBGF4895YRNAHFZ&lid=LSTMOBGF4895YRNAHFZ3XABXU&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBGF4895YRNAHFZ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 5G (Racing Blue, 128 GB)  (6 GB RAM)","₹16,999",Racing Blue,6 GB,128 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 700 (MT6833),Processor Type,https://www.flipkart.com/realme-narzo-30-5g-racing-blue-128-gb/p/itm56837fcb0d6f3?pid=MOBG3W3GCZ6FN5WJ&lid=LSTMOBG3W3GCZ6FN5WJRS25R2&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG3W3GCZ6FN5WJ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 5G (Racing Silver, 128 GB)  (6 GB RAM)","₹16,999",Racing Silver,6 GB,128 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Dimensity 700 (MT6833),Processor Type,https://www.flipkart.com/realme-narzo-30-5g-racing-silver-128-gb/p/itm56837fcb0d6f3?pid=MOBG3W3GWVTBTQZQ&lid=LSTMOBG3W3GWVTBTQZQGONJ0G&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG3W3GWVTBTQZQ.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
realme,"realme Narzo 30 (Racing Blue, 64 GB)  (6 GB RAM)","₹14,499",Racing Blue,6 GB,64 GB,48MP + 2MP + 2MP,16MP Front Camera,Battery & Power Features,16.51 cm (6.5 inch),2400 x 1080 Pixels,MediaTek Helio G95,Processor Type,https://www.flipkart.com/realme-narzo-30-racing-blue-64-gb/p/itm957dacbc8270c?pid=MOBG5D9D7GK3VR5T&lid=LSTMOBG5D9D7GK3VR5TABK618&marketplace=FLIPKART&q=Realme&store=search.flipkart.com&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=246c24a0-de52-4ebc-8aef-c0c264b7e9bb.MOBG5D9D7GK3VR5T.SEARCH&ppt=hp&ppn=homepage&ssid=eadz0vsh1c0000001632515991203&qH=5b198c91d136319b
